127.0.0.1 - - [23/Jan/2022:15:13:22 +0900] "GET / HTTP/1.1" 200 11354
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/productDetail.jsp HTTP/1.1" 200 15066
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/js/jquery.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/js/script.js HTTP/1.1" 200 3861
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/css/productDetail.css HTTP/1.1" 200 11980
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/img/logo-basic.png HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/img/search_btn2.png HTTP/1.1" 200 1310
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/img/DD1503-101.png HTTP/1.1" 200 418444
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:13:23 +0900] "GET /learning/resources/img/logo-basic_bold.png HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/productDetail.jsp HTTP/1.1" 200 18169
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/css/productDetail.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/img/search_btn2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/img/logo-basic.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/img/DD1503-101.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2022:15:15:16 +0900] "GET /learning/resources/img/logo-basic_bold.png HTTP/1.1" 304 -
